,Unnamed: 0,candle,open,high,low,close,volume,oi,ADX,ATR,AROONOSC,EMA_21,EMA_14,RSI
0,0,2021-09-14T09:15:00+0530,1850.0,1857.65,1848.0,1850.15,228070,0,,,,,,
1,1,2021-09-14T09:20:00+0530,1850.85,1853.75,1845.15,1848.05,77343,0,,,,,,
2,2,2021-09-14T09:25:00+0530,1848.95,1850.0,1845.55,1847.4,66825,0,,,,,,
3,3,2021-09-14T09:30:00+0530,1847.05,1854.6,1847.05,1854.3,62223,0,,,,,,
4,4,2021-09-14T09:35:00+0530,1853.8,1855.0,1850.85,1851.1,39733,0,,,,,,
5,5,2021-09-14T09:40:00+0530,1851.15,1853.95,1850.55,1853.7,32409,0,,,,,,
6,6,2021-09-14T09:45:00+0530,1853.7,1855.85,1853.0,1854.4,67816,0,,,,,,
7,7,2021-09-14T09:50:00+0530,1854.25,1855.4,1853.8,1855.0,39281,0,,,,,,
8,8,2021-09-14T09:55:00+0530,1854.5,1857.0,1852.95,1855.35,50123,0,,,,,,
9,9,2021-09-14T10:00:00+0530,1855.4,1855.4,1853.2,1854.55,25230,0,,,,,,
10,10,2021-09-14T10:05:00+0530,1854.5,1855.0,1850.0,1852.0,57844,0,,,,,,
11,11,2021-09-14T10:10:00+0530,1852.0,1855.55,1851.2,1855.55,26303,0,,,,,,
12,12,2021-09-14T10:15:00+0530,1855.55,1856.5,1853.25,1856.0,29693,0,,,,,,
13,13,2021-09-14T10:20:00+0530,1856.5,1862.8,1856.2,1860.6,138068,0,,,,,1853.4392857142855,
14,14,2021-09-14T10:25:00+0530,1860.05,1860.8,1856.1,1860.55,180825,0,,4.4964285714285745,85.71428571428572,,1854.3873809523807,67.8694158075601
15,15,2021-09-14T10:30:00+0530,1860.45,1863.0,1858.45,1861.0,61898,0,,4.500255102040816,100.0,,1855.2690634920632,68.39573582943319
16,16,2021-09-14T10:35:00+0530,1861.0,1865.0,1860.4,1863.85,75105,0,,4.507379737609322,100.0,,1856.4131883597881,71.57185521013237
17,17,2021-09-14T10:40:00+0530,1863.15,1864.7,1862.2,1864.3,61500,0,,4.363995470637228,92.85714285714286,,1857.4647632451497,72.04948703295507
18,18,2021-09-14T10:45:00+0530,1864.25,1864.95,1862.65,1863.75,47051,0,,4.216567222734565,42.85714285714286,,1858.3027948124632,70.49061349394226
